occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,lowerLimitFilterSize,micrometer,38,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,sampleAccessionNumber,,SAMEA115160546,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,NCBIID,,33154,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,NCBIScientificName,,Opisthokonta,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,NCBITaxonRank,,clade,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu8,technicalReplicateID,,,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,submergedTime,day,442,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,lowerLimitFilterSize,micrometer,38,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,sampleAccessionNumber,,SAMEA115160546,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,NCBIID,,6679,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,NCBIScientificName,,Megabalanus,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,NCBITaxonRank,,genus,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,fieldReplicateID,,no replicate,,,
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1:Otu14,technicalReplicateID,,,,,
